Trial,Marker,Coordinate,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7
2,17,Y,"Mean: 66.00, Std: 1.92, Max: 68.45, Min: 60.41, Range: 8.04","Mean: 55.79, Std: 0.13, Max: 56.06, Min: 55.45, Range: 0.61","Mean: 57.07, Std: 0.41, Max: 58.17, Min: 56.22, Range: 1.95","Mean: 57.62, Std: 0.24, Max: 58.18, Min: 57.09, Range: 1.09","Mean: 59.01, Std: 0.72, Max: 60.82, Min: 58.23, Range: 2.60","Mean: 61.04, Std: 2.67, Max: 65.38, Min: 53.53, Range: 11.85","Mean: 62.98, Std: 1.86, Max: 67.48, Min: 54.46, Range: 13.02"
2,17,Z,"Mean: -1.93, Std: 2.63, Max: 3.07, Min: -6.63, Range: 9.69","Mean: 0.44, Std: 0.86, Max: 2.78, Min: -2.37, Range: 5.14","Mean: -1.33, Std: 0.80, Max: 1.33, Min: -2.72, Range: 4.05","Mean: -3.10, Std: 0.74, Max: -1.49, Min: -4.65, Range: 3.17","Mean: -7.55, Std: 0.53, Max: -6.36, Min: -8.65, Range: 2.29","Mean: -4.60, Std: 6.23, Max: 5.04, Min: -15.68, Range: 20.72","Mean: -7.21, Std: 3.29, Max: 0.16, Min: -19.33, Range: 19.48"
2,18,X,"Mean: 116.22, Std: 6.66, Max: 126.32, Min: 103.58, Range: 22.73","Mean: 117.09, Std: 0.51, Max: 118.86, Min: 115.97, Range: 2.89","Mean: 116.66, Std: 0.70, Max: 117.60, Min: 114.27, Range: 3.33","Mean: 117.33, Std: 0.25, Max: 117.88, Min: 116.80, Range: 1.08","Mean: 118.61, Std: 0.22, Max: 119.23, Min: 118.16, Range: 1.07","Mean: 117.26, Std: 6.01, Max: 123.98, Min: 106.56, Range: 17.42","Mean: 119.56, Std: 3.47, Max: 126.80, Min: 112.61, Range: 14.19"
2,18,Y,"Mean: 66.85, Std: 7.55, Max: 76.93, Min: 47.12, Range: 29.81","Mean: 52.19, Std: 0.28, Max: 52.64, Min: 51.35, Range: 1.30","Mean: 54.74, Std: 0.67, Max: 56.56, Min: 53.43, Range: 3.13","Mean: 56.08, Std: 0.37, Max: 56.83, Min: 55.25, Range: 1.58","Mean: 58.73, Std: 0.83, Max: 60.71, Min: 57.72, Range: 2.99","Mean: 61.18, Std: 4.52, Max: 68.56, Min: 51.49, Range: 17.07","Mean: 63.54, Std: 4.54, Max: 71.40, Min: 43.68, Range: 27.72"
2,18,Z,"Mean: -3.80, Std: 9.02, Max: 10.90, Min: -23.97, Range: 34.87","Mean: 6.91, Std: 1.53, Max: 10.83, Min: 1.59, Range: 9.24","Mean: 4.18, Std: 1.57, Max: 9.77, Min: 1.83, Range: 7.93","Mean: 1.16, Std: 1.39, Max: 3.83, Min: -1.33, Range: 5.17","Mean: -7.55, Std: 0.47, Max: -6.51, Min: -8.63, Range: 2.12","Mean: -3.63, Std: 12.43, Max: 15.74, Min: -23.97, Range: 39.71","Mean: -10.21, Std: 8.28, Max: 6.13, Min: -35.01, Range: 41.14"
2,19,X,"Mean: 128.40, Std: 6.32, Max: 141.99, Min: 112.61, Range: 29.38","Mean: 143.64, Std: 0.43, Max: 144.92, Min: 142.60, Range: 2.32","Mean: 142.37, Std: 0.64, Max: 143.39, Min: 140.16, Range: 3.23","Mean: 142.90, Std: 0.17, Max: 143.33, Min: 142.49, Range: 0.84","Mean: 143.08, Std: 0.33, Max: 143.73, Min: 142.26, Range: 1.47","Mean: 139.89, Std: 4.47, Max: 145.26, Min: 130.52, Range: 14.74","Mean: 137.84, Std: 6.07, Max: 143.11, Min: 117.21, Range: 25.90"
2,19,Y,"Mean: 65.12, Std: 17.38, Max: 93.67, Min: 32.90, Range: 60.77","Mean: 54.85, Std: 0.63, Max: 56.17, Min: 53.34, Range: 2.83","Mean: 60.51, Std: 0.94, Max: 62.94, Min: 58.81, Range: 4.13","Mean: 62.47, Std: 0.56, Max: 63.44, Min: 61.36, Range: 2.08","Mean: 64.84, Std: 1.02, Max: 67.29, Min: 63.27, Range: 4.02","Mean: 63.20, Std: 11.69, Max: 77.98, Min: 46.17, Range: 31.80","Mean: 63.17, Std: 12.67, Max: 82.88, Min: 19.52, Range: 63.36"
2,19,Z,"Mean: -21.87, Std: 15.65, Max: 8.75, Min: -47.69, Range: 56.44","Mean: 2.18, Std: 2.15, Max: 7.03, Min: -5.67, Range: 12.70","Mean: 0.53, Std: 2.44, Max: 9.15, Min: -3.06, Range: 12.21","Mean: -3.85, Std: 2.00, Max: -0.09, Min: -7.61, Range: 7.52","Mean: -17.49, Std: 0.54, Max: -16.36, Min: -18.89, Range: 2.54","Mean: -15.54, Std: 19.65, Max: 16.76, Min: -42.67, Range: 59.43","Mean: -26.89, Std: 13.89, Max: 0.46, Min: -54.22, Range: 54.67"
2,20,X,"Mean: 39.40, Std: 0.44, Max: 40.01, Min: 38.29, Range: 1.72","Mean: 36.68, Std: 0.37, Max: 37.51, Min: 35.65, Range: 1.86","Mean: 37.67, Std: 0.15, Max: 38.02, Min: 37.21, Range: 0.81","Mean: 37.72, Std: 0.24, Max: 38.40, Min: 37.22, Range: 1.17","Mean: 38.45, Std: 0.19, Max: 38.83, Min: 38.02, Range: 0.81","Mean: 38.03, Std: 1.27, Max: 40.01, Min: 34.91, Range: 5.10","Mean: 38.61, Std: 0.59, Max: 40.06, Min: 36.27, Range: 3.79"
2,20,Y,"Mean: -1.07, Std: 0.26, Max: -0.40, Min: -1.63, Range: 1.23","Mean: -0.30, Std: 0.22, Max: 0.20, Min: -0.83, Range: 1.03","Mean: -0.46, Std: 0.14, Max: -0.11, Min: -0.74, Range: 0.63","Mean: -0.66, Std: 0.17, Max: -0.19, Min: -1.24, Range: 1.05","Mean: -0.70, Std: 0.16, Max: -0.28, Min: -1.12, Range: 0.84","Mean: -0.68, Std: 0.21, Max: -0.18, Min: -1.16, Range: 0.98","Mean: -1.27, Std: 0.43, Max: -0.28, Min: -2.63, Range: 2.35"
