Trial,Marker,Coordinate,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7
3,5,X,"Mean: 149.38, Std: 0.96, Max: 151.36, Min: 147.62, Range: 3.74","Mean: 149.79, Std: 2.41, Max: 154.88, Min: 144.45, Range: 10.43","Mean: 142.40, Std: 2.35, Max: 149.32, Min: 136.65, Range: 12.66","Mean: 144.40, Std: 0.32, Max: 145.15, Min: 143.69, Range: 1.46","Mean: 149.21, Std: 0.39, Max: 150.26, Min: 148.23, Range: 2.03","Mean: 150.26, Std: 2.59, Max: 153.80, Min: 143.99, Range: 9.81","Mean: 149.46, Std: 1.86, Max: 154.00, Min: 144.48, Range: 9.52"
3,5,Y,"Mean: 2.73, Std: 1.78, Max: 7.52, Min: -0.64, Range: 8.16","Mean: 8.25, Std: 4.27, Max: 15.27, Min: 1.62, Range: 13.65","Mean: 0.37, Std: 1.86, Max: 4.86, Min: -3.65, Range: 8.51","Mean: 3.08, Std: 0.40, Max: 4.12, Min: 2.26, Range: 1.86","Mean: 5.38, Std: 0.93, Max: 7.48, Min: 3.20, Range: 4.27","Mean: 2.89, Std: 2.51, Max: 8.69, Min: -1.37, Range: 10.06","Mean: 5.93, Std: 3.50, Max: 17.20, Min: -0.96, Range: 18.16"
3,5,Z,"Mean: 18.21, Std: 2.11, Max: 24.29, Min: 13.38, Range: 10.90","Mean: 6.23, Std: 14.39, Max: 27.71, Min: -15.67, Range: 43.37","Mean: 32.70, Std: 3.95, Max: 41.86, Min: 20.00, Range: 21.86","Mean: 30.45, Std: 0.70, Max: 32.08, Min: 28.82, Range: 3.25","Mean: 23.56, Std: 0.87, Max: 25.49, Min: 21.51, Range: 3.98","Mean: 20.10, Std: 4.39, Max: 29.09, Min: 7.17, Range: 21.92","Mean: 19.57, Std: 8.30, Max: 35.60, Min: -7.48, Range: 43.08"
3,6,X,"Mean: 171.98, Std: 0.93, Max: 174.14, Min: 170.27, Range: 3.87","Mean: 166.23, Std: 5.86, Max: 173.38, Min: 147.98, Range: 25.40","Mean: 164.71, Std: 2.91, Max: 172.62, Min: 158.76, Range: 13.86","Mean: 167.97, Std: 0.24, Max: 168.56, Min: 167.23, Range: 1.33","Mean: 172.86, Std: 0.42, Max: 174.02, Min: 172.00, Range: 2.02","Mean: 170.02, Std: 3.82, Max: 176.41, Min: 158.24, Range: 18.17","Mean: 172.12, Std: 2.10, Max: 175.03, Min: 161.92, Range: 13.10"
3,6,Y,"Mean: -1.66, Std: 2.29, Max: 4.50, Min: -6.21, Range: 10.70","Mean: 10.90, Std: 9.70, Max: 29.06, Min: -3.53, Range: 32.60","Mean: -4.10, Std: 2.18, Max: 0.87, Min: -8.74, Range: 9.61","Mean: -0.33, Std: 0.47, Max: 1.22, Min: -1.22, Range: 2.44","Mean: 4.24, Std: 0.97, Max: 6.82, Min: 1.98, Range: 4.84","Mean: 5.92, Std: 5.08, Max: 19.75, Min: -1.80, Range: 21.54","Mean: 5.25, Std: 5.21, Max: 21.78, Min: -3.59, Range: 25.36"
3,6,Z,"Mean: 17.18, Std: 2.37, Max: 24.68, Min: 11.36, Range: 13.32","Mean: -7.90, Std: 23.92, Max: 28.43, Min: -42.37, Range: 70.80","Mean: 35.52, Std: 6.11, Max: 47.47, Min: 15.95, Range: 31.52","Mean: 31.39, Std: 0.79, Max: 33.59, Min: 29.66, Range: 3.94","Mean: 20.42, Std: 1.10, Max: 22.90, Min: 17.95, Range: 4.95","Mean: 8.44, Std: 14.43, Max: 35.01, Min: -17.41, Range: 52.42","Mean: 12.80, Std: 12.56, Max: 35.21, Min: -31.26, Range: 66.47"
3,7,X,"Mean: 192.09, Std: 0.91, Max: 194.16, Min: 190.45, Range: 3.72","Mean: 178.10, Std: 14.57, Max: 193.83, Min: 135.10, Range: 58.73","Mean: 184.19, Std: 3.45, Max: 193.08, Min: 177.68, Range: 15.40","Mean: 188.11, Std: 0.23, Max: 188.60, Min: 187.46, Range: 1.14","Mean: 193.09, Std: 0.42, Max: 194.21, Min: 192.22, Range: 1.99","Mean: 181.69, Std: 10.29, Max: 195.40, Min: 158.93, Range: 36.47","Mean: 191.06, Std: 4.09, Max: 194.66, Min: 169.77, Range: 24.89"
3,7,Y,"Mean: -4.76, Std: 2.67, Max: 2.28, Min: -10.15, Range: 12.42","Mean: 14.56, Std: 14.90, Max: 41.36, Min: -8.39, Range: 49.76","Mean: -7.75, Std: 2.50, Max: -1.89, Min: -12.51, Range: 10.63","Mean: -2.67, Std: 0.49, Max: -1.33, Min: -3.70, Range: 2.37","Mean: 3.60, Std: 1.10, Max: 6.44, Min: 1.05, Range: 5.39","Mean: 10.84, Std: 10.61, Max: 31.87, Min: -4.13, Range: 36.00","Mean: 5.49, Std: 6.81, Max: 28.60, Min: -5.00, Range: 33.60"
3,7,Z,"Mean: 16.92, Std: 2.69, Max: 25.92, Min: 10.41, Range: 15.52","Mean: -17.72, Std: 31.31, Max: 31.12, Min: -57.65, Range: 88.77","Mean: 39.58, Std: 8.73, Max: 53.90, Min: 12.84, Range: 41.05","Mean: 32.83, Std: 0.82, Max: 35.45, Min: 30.85, Range: 4.60","Mean: 18.59, Std: 1.34, Max: 21.77, Min: 15.52, Range: 6.25","Mean: -0.55, Std: 23.74, Max: 43.61, Min: -35.76, Range: 79.37","Mean: 7.61, Std: 16.15, Max: 35.27, Min: -49.17, Range: 84.44"
3,8,X,"Mean: 149.42, Std: 0.50, Max: 150.70, Min: 148.35, Range: 2.35","Mean: 148.36, Std: 0.78, Max: 150.31, Min: 146.56, Range: 3.75","Mean: 148.96, Std: 4.35, Max: 154.08, Min: 140.75, Range: 13.33","Mean: 136.90, Std: 1.25, Max: 141.01, Min: 135.23, Range: 5.78","Mean: 146.85, Std: 0.85, Max: 149.28, Min: 144.96, Range: 4.32","Mean: 148.05, Std: 3.03, Max: 152.66, Min: 142.68, Range: 9.98","Mean: 143.64, Std: 3.06, Max: 154.76, Min: 137.23, Range: 17.53"
3,8,Y,"Mean: -24.30, Std: 1.87, Max: -19.56, Min: -28.29, Range: 8.73","Mean: -22.85, Std: 1.35, Max: -18.18, Min: -25.33, Range: 7.15","Mean: -21.03, Std: 6.23, Max: -7.89, Min: -30.18, Range: 22.29","Mean: -33.27, Std: 1.28, Max: -30.66, Min: -35.73, Range: 5.07","Mean: -21.47, Std: 1.61, Max: -17.41, Min: -24.67, Range: 7.26","Mean: -27.32, Std: 3.66, Max: -16.17, Min: -34.27, Range: 18.10","Mean: -28.89, Std: 4.04, Max: -9.70, Min: -34.03, Range: 24.33"
3,8,Z,"Mean: 2.94, Std: 2.56, Max: 8.90, Min: -2.82, Range: 11.72","Mean: 5.45, Std: 2.41, Max: 10.44, Min: 0.25, Range: 10.19","Mean: 3.61, Std: 13.36, Max: 23.86, Min: -17.16, Range: 41.02","Mean: 25.63, Std: 1.92, Max: 29.44, Min: 20.74, Range: 8.70","Mean: 17.27, Std: 1.70, Max: 22.77, Min: 12.64, Range: 10.13","Mean: 8.70, Std: 3.97, Max: 17.57, Min: -1.73, Range: 19.29","Mean: 15.10, Std: 7.22, Max: 25.38, Min: -18.34, Range: 43.72"
3,9,X,"Mean: 176.19, Std: 0.35, Max: 176.79, Min: 175.40, Range: 1.39","Mean: 175.02, Std: 0.57, Max: 176.49, Min: 173.56, Range: 2.93","Mean: 167.72, Std: 5.34, Max: 176.61, Min: 153.76, Range: 22.85","Mean: 163.73, Std: 1.62, Max: 167.62, Min: 160.57, Range: 7.04","Mean: 173.88, Std: 0.75, Max: 175.90, Min: 172.25, Range: 3.64","Mean: 171.53, Std: 2.77, Max: 176.81, Min: 163.38, Range: 13.43","Mean: 170.32, Std: 2.32, Max: 176.90, Min: 162.92, Range: 13.98"
3,9,Y,"Mean: -29.34, Std: 2.31, Max: -23.13, Min: -34.23, Range: 11.11","Mean: -25.99, Std: 2.03, Max: -19.42, Min: -29.82, Range: 10.40","Mean: -16.27, Std: 16.66, Max: 8.01, Min: -38.61, Range: 46.63","Mean: -42.36, Std: 1.09, Max: -38.82, Min: -43.87, Range: 5.06","Mean: -26.59, Std: 1.98, Max: -21.83, Min: -30.52, Range: 8.69","Mean: -24.35, Std: 12.64, Max: 1.70, Min: -40.78, Range: 42.48","Mean: -35.22, Std: 7.59, Max: 3.45, Min: -42.01, Range: 45.46"
3,9,Z,"Mean: -1.87, Std: 3.26, Max: 6.12, Min: -9.04, Range: 15.16","Mean: -2.47, Std: 3.44, Max: 4.42, Min: -9.13, Range: 13.55","Mean: -9.26, Std: 24.83, Max: 28.89, Min: -42.67, Range: 71.56","Mean: 27.45, Std: 3.43, Max: 35.36, Min: 21.25, Range: 14.11","Mean: 19.14, Std: 1.91, Max: 24.90, Min: 14.60, Range: 10.30","Mean: -4.27, Std: 13.17, Max: 20.20, Min: -26.05, Range: 46.25","Mean: 12.49, Std: 11.89, Max: 28.97, Min: -43.21, Range: 72.18"
3,10,X,"Mean: 193.93, Std: 0.28, Max: 194.50, Min: 193.04, Range: 1.47","Mean: 192.61, Std: 0.43, Max: 193.96, Min: 191.48, Range: 2.49","Mean: 178.11, Std: 12.52, Max: 194.59, Min: 150.76, Range: 43.83","Mean: 181.11, Std: 1.94, Max: 185.65, Min: 177.06, Range: 8.59","Mean: 191.96, Std: 0.83, Max: 194.00, Min: 190.40, Range: 3.61","Mean: 182.21, Std: 8.26, Max: 193.60, Min: 163.85, Range: 29.75","Mean: 187.42, Std: 2.88, Max: 195.06, Min: 171.71, Range: 23.35"
3,10,Y,"Mean: -35.37, Std: 2.65, Max: -28.40, Min: -41.01, Range: 12.61","Mean: -30.38, Std: 2.49, Max: -22.69, Min: -35.21, Range: 12.53","Mean: -15.24, Std: 24.40, Max: 18.32, Min: -48.21, Range: 66.54","Mean: -50.20, Std: 1.49, Max: -45.48, Min: -52.30, Range: 6.83","Mean: -32.70, Std: 2.26, Max: -27.32, Min: -37.20, Range: 9.88","Mean: -22.71, Std: 20.48, Max: 13.82, Min: -49.70, Range: 63.52","Mean: -41.42, Std: 10.19, Max: 11.11, Min: -50.28, Range: 61.40"
3,10,Z,"Mean: -7.19, Std: 3.56, Max: 1.96, Min: -14.83, Range: 16.79","Mean: -9.33, Std: 4.22, Max: -0.53, Min: -17.37, Range: 16.84","Mean: -18.54, Std: 32.01, Max: 32.49, Min: -59.37, Range: 91.86","Mean: 26.94, Std: 4.90, Max: 38.51, Min: 16.45, Range: 22.06","Mean: 19.50, Std: 2.16, Max: 25.45, Min: 13.47, Range: 11.97","Mean: -13.40, Std: 19.40, Max: 24.66, Min: -42.14, Range: 66.79","Mean: 9.29, Std: 15.07, Max: 30.62, Min: -61.26, Range: 91.87"
3,11,X,"Mean: 133.56, Std: 0.38, Max: 134.21, Min: 132.14, Range: 2.07","Mean: 131.31, Std: 0.38, Max: 132.11, Min: 130.58, Range: 1.53","Mean: 129.95, Std: 2.15, Max: 133.69, Min: 125.44, Range: 8.25","Mean: 135.09, Std: 5.64, Max: 141.48, Min: 125.23, Range: 16.25","Mean: 131.35, Std: 2.30, Max: 137.30, Min: 127.26, Range: 10.04","Mean: 132.27, Std: 3.12, Max: 138.31, Min: 125.62, Range: 12.68","Mean: 132.99, Std: 3.56, Max: 142.13, Min: 126.15, Range: 15.98"
3,11,Y,"Mean: -40.91, Std: 1.60, Max: -36.89, Min: -44.63, Range: 7.74","Mean: -40.27, Std: 0.85, Max: -38.67, Min: -42.23, Range: 3.56","Mean: -43.22, Std: 1.60, Max: -38.56, Min: -46.33, Range: 7.78","Mean: -41.13, Std: 4.01, Max: -31.61, Min: -46.14, Range: 14.53","Mean: -41.05, Std: 2.27, Max: -34.05, Min: -44.45, Range: 10.40","Mean: -44.09, Std: 1.92, Max: -38.84, Min: -49.10, Range: 10.26","Mean: -40.48, Std: 4.37, Max: -27.18, Min: -47.78, Range: 20.59"
3,11,Z,"Mean: -6.98, Std: 2.30, Max: -1.51, Min: -12.25, Range: 10.74","Mean: -2.40, Std: 1.32, Max: 0.64, Min: -5.36, Range: 5.99","Mean: -0.19, Std: 3.50, Max: 7.61, Min: -6.50, Range: 14.11","Mean: -7.62, Std: 9.61, Max: 7.12, Min: -24.35, Range: 31.47","Mean: 5.88, Std: 2.31, Max: 11.74, Min: -0.23, Range: 11.97","Mean: -1.32, Std: 2.88, Max: 7.95, Min: -7.75, Range: 15.70","Mean: -7.80, Std: 8.43, Max: 5.35, Min: -29.78, Range: 35.13"
3,12,X,"Mean: 154.59, Std: 0.51, Max: 155.49, Min: 152.63, Range: 2.87","Mean: 152.14, Std: 0.40, Max: 153.09, Min: 151.17, Range: 1.92","Mean: 150.64, Std: 3.52, Max: 156.59, Min: 143.88, Range: 12.71","Mean: 146.87, Std: 6.44, Max: 158.00, Min: 135.53, Range: 22.47","Mean: 155.42, Std: 3.81, Max: 162.81, Min: 149.49, Range: 13.32","Mean: 153.74, Std: 3.37, Max: 158.23, Min: 146.05, Range: 12.17","Mean: 153.53, Std: 3.51, Max: 159.28, Min: 140.09, Range: 19.19"
3,12,Y,"Mean: -51.19, Std: 1.93, Max: -46.57, Min: -55.91, Range: 9.34","Mean: -50.88, Std: 0.95, Max: -48.93, Min: -52.75, Range: 3.82","Mean: -54.01, Std: 3.45, Max: -47.25, Min: -59.90, Range: 12.66","Mean: -35.00, Std: 17.92, Max: -12.66, Min: -59.03, Range: 46.37","Mean: -48.23, Std: 5.20, Max: -35.31, Min: -54.42, Range: 19.11","Mean: -45.52, Std: 10.08, Max: -25.80, Min: -58.73, Range: 32.92","Mean: -44.71, Std: 12.06, Max: -7.14, Min: -59.07, Range: 51.93"
3,12,Z,"Mean: -8.71, Std: 2.98, Max: -2.24, Min: -15.43, Range: 13.19","Mean: -3.32, Std: 1.57, Max: 0.92, Min: -5.85, Range: 6.77","Mean: -1.18, Std: 6.39, Max: 11.72, Min: -13.83, Range: 25.54","Mean: -19.80, Std: 17.59, Max: 11.53, Min: -39.14, Range: 50.67","Mean: 2.68, Std: 3.92, Max: 9.39, Min: -6.65, Range: 16.03","Mean: -11.67, Std: 9.50, Max: 5.00, Min: -27.15, Range: 32.15","Mean: -15.74, Std: 14.96, Max: 6.34, Min: -51.84, Range: 58.17"
3,13,X,"Mean: 172.97, Std: 0.61, Max: 174.19, Min: 170.63, Range: 3.56","Mean: 170.26, Std: 0.52, Max: 171.35, Min: 168.86, Range: 2.48","Mean: 168.50, Std: 4.71, Max: 176.05, Min: 159.58, Range: 16.46","Mean: 156.22, Std: 14.72, Max: 177.39, Min: 131.90, Range: 45.49","Mean: 174.18, Std: 4.24, Max: 180.74, Min: 166.94, Range: 13.80","Mean: 164.90, Std: 22.40, Max: 181.44, Min: -56.39, Range: 237.83","Mean: 170.67, Std: 7.29, Max: 178.75, Min: 138.64, Range: 40.11"
3,13,Y,"Mean: -58.19, Std: 2.23, Max: -52.55, Min: -63.69, Range: 11.14","Mean: -58.17, Std: 1.12, Max: -55.72, Min: -59.91, Range: 4.19","Mean: -61.52, Std: 5.12, Max: -51.47, Min: -69.48, Range: 18.01","Mean: -29.65, Std: 28.34, Max: 3.74, Min: -69.62, Range: 73.36","Mean: -50.80, Std: 9.48, Max: -30.33, Min: -62.12, Range: 31.79","Mean: -42.76, Std: 20.37, Max: -8.07, Min: -101.98, Range: 93.91","Mean: -47.08, Std: 18.12, Max: 8.96, Min: -67.24, Range: 76.20"
3,13,Z,"Mean: -5.93, Std: 3.52, Max: 1.51, Min: -13.84, Range: 15.36","Mean: 0.16, Std: 1.94, Max: 5.36, Min: -2.87, Range: 8.23","Mean: 2.07, Std: 8.90, Max: 18.79, Min: -16.51, Range: 35.30","Mean: -26.27, Std: 24.74, Max: 19.55, Min: -51.30, Range: 70.85","Mean: 1.84, Std: 9.17, Max: 16.31, Min: -17.15, Range: 33.46","Mean: -19.72, Std: 23.58, Max: 12.67, Min: -176.08, Range: 188.75","Mean: -18.57, Std: 20.30, Max: 11.83, Min: -67.28, Range: 79.11"
3,14,X,"Mean: 110.83, Std: 0.55, Max: 111.86, Min: 108.94, Range: 2.92","Mean: 111.39, Std: 0.23, Max: 111.88, Min: 110.89, Range: 1.00","Mean: 102.02, Std: 1.24, Max: 104.01, Min: 99.36, Range: 4.65","Mean: 98.32, Std: 1.35, Max: 100.85, Min: 95.76, Range: 5.09","Mean: 112.36, Std: 6.94, Max: 123.36, Min: 100.86, Range: 22.50","Mean: 113.36, Std: 3.66, Max: 119.36, Min: 106.64, Range: 12.71","Mean: 111.58, Std: 4.48, Max: 119.55, Min: 98.34, Range: 21.21"
3,14,Y,"Mean: -53.90, Std: 1.26, Max: -50.69, Min: -56.71, Range: 6.02","Mean: -49.72, Std: 0.41, Max: -48.91, Min: -50.83, Range: 1.92","Mean: -54.57, Std: 0.65, Max: -52.78, Min: -55.90, Range: 3.12","Mean: -53.63, Std: 0.43, Max: -52.63, Min: -54.65, Range: 2.02","Mean: -51.90, Std: 2.84, Max: -45.15, Min: -56.16, Range: 11.01","Mean: -49.51, Std: 3.88, Max: -39.06, Min: -55.55, Range: 16.49","Mean: -46.39, Std: 8.45, Max: -24.94, Min: -57.18, Range: 32.24"
3,14,Z,"Mean: -16.47, Std: 1.69, Max: -11.92, Min: -20.56, Range: 8.64","Mean: -16.19, Std: 0.92, Max: -14.15, Min: -18.06, Range: 3.91","Mean: -10.73, Std: 2.12, Max: -5.50, Min: -15.01, Range: 9.50","Mean: -6.89, Std: 0.94, Max: -5.10, Min: -9.57, Range: 4.47","Mean: -9.79, Std: 1.74, Max: -6.30, Min: -14.03, Range: 7.74","Mean: -18.62, Std: 1.77, Max: -15.10, Min: -22.71, Range: 7.61","Mean: -22.72, Std: 9.28, Max: -11.15, Min: -45.40, Range: 34.25"
3,15,X,"Mean: 127.25, Std: 0.71, Max: 128.62, Min: 124.86, Range: 3.75","Mean: 128.03, Std: 0.29, Max: 128.65, Min: 127.39, Range: 1.26","Mean: 115.02, Std: 1.62, Max: 117.97, Min: 111.35, Range: 6.62","Mean: 111.37, Std: 2.15, Max: 115.17, Min: 107.52, Range: 7.64","Mean: 130.51, Std: 8.49, Max: 144.39, Min: 114.39, Range: 30.00","Mean: 132.56, Std: 5.56, Max: 139.37, Min: 122.02, Range: 17.35","Mean: 127.56, Std: 4.95, Max: 136.94, Min: 113.32, Range: 23.62"
3,15,Y,"Mean: -63.01, Std: 1.52, Max: -59.23, Min: -66.69, Range: 7.46","Mean: -58.33, Std: 0.47, Max: -57.50, Min: -59.35, Range: 1.85","Mean: -67.40, Std: 0.88, Max: -65.29, Min: -69.42, Range: 4.12","Mean: -67.51, Std: 0.76, Max: -66.03, Min: -69.11, Range: 3.08","Mean: -51.39, Std: 12.55, Max: -33.04, Min: -67.90, Range: 34.85","Mean: -51.56, Std: 10.32, Max: -29.83, Min: -66.43, Range: 36.61","Mean: -51.99, Std: 14.84, Max: -16.27, Min: -69.88, Range: 53.60"
3,15,Z,"Mean: -17.93, Std: 2.20, Max: -12.93, Min: -23.06, Range: 10.13","Mean: -17.02, Std: 1.05, Max: -14.03, Min: -18.76, Range: 4.72","Mean: -7.55, Std: 2.71, Max: -1.03, Min: -13.92, Range: 12.90","Mean: -2.74, Std: 1.41, Max: 0.47, Min: -5.58, Range: 6.05","Mean: -16.91, Std: 9.25, Max: -1.39, Min: -31.46, Range: 30.06","Mean: -24.44, Std: 4.16, Max: -16.54, Min: -32.88, Range: 16.33","Mean: -26.43, Std: 14.06, Max: -8.44, Min: -58.54, Range: 50.10"
3,16,X,"Mean: 137.64, Std: 0.98, Max: 139.58, Min: 134.93, Range: 4.65","Mean: 139.27, Std: 0.34, Max: 139.94, Min: 138.41, Range: 1.53","Mean: 122.52, Std: 1.93, Max: 125.89, Min: 117.88, Range: 8.00","Mean: 118.71, Std: 3.00, Max: 123.80, Min: 113.56, Range: 10.24","Mean: 135.72, Std: 6.82, Max: 153.63, Min: 121.86, Range: 31.77","Mean: 143.27, Std: 5.94, Max: 150.65, Min: 130.77, Range: 19.88","Mean: 137.89, Std: 5.92, Max: 149.24, Min: 122.04, Range: 27.19"
3,16,Y,"Mean: -76.41, Std: 1.70, Max: -72.17, Min: -80.41, Range: 8.23","Mean: -70.80, Std: 0.54, Max: -69.63, Min: -71.89, Range: 2.26","Mean: -83.18, Std: 1.01, Max: -80.91, Min: -85.57, Range: 4.66","Mean: -83.54, Std: 1.09, Max: -81.35, Min: -85.71, Range: 4.37","Mean: -53.27, Std: 22.59, Max: -23.27, Min: -83.53, Range: 60.26","Mean: -55.45, Std: 18.08, Max: -19.68, Min: -80.48, Range: 60.80","Mean: -61.55, Std: 19.86, Max: -15.30, Min: -84.60, Range: 69.30"
3,16,Z,"Mean: -22.60, Std: 2.44, Max: -16.79, Min: -28.49, Range: 11.69","Mean: -22.25, Std: 1.22, Max: -18.71, Min: -24.10, Range: 5.39","Mean: -9.23, Std: 3.13, Max: -1.97, Min: -16.75, Range: 14.78","Mean: -3.88, Std: 1.80, Max: 0.96, Min: -6.95, Range: 7.91","Mean: -26.81, Std: 15.11, Max: -1.26, Min: -47.52, Range: 46.27","Mean: -34.71, Std: 8.49, Max: -18.79, Min: -47.72, Range: 28.93","Mean: -34.05, Std: 18.29, Max: -9.73, Min: -74.67, Range: 64.94"
3,17,X,"Mean: 86.68, Std: 4.18, Max: 93.91, Min: 79.58, Range: 14.33","Mean: 89.96, Std: 0.21, Max: 90.31, Min: 89.34, Range: 0.96","Mean: 90.46, Std: 0.72, Max: 91.41, Min: 88.21, Range: 3.21","Mean: 90.06, Std: 0.16, Max: 90.42, Min: 89.54, Range: 0.88","Mean: 86.47, Std: 1.05, Max: 88.04, Min: 84.08, Range: 3.96","Mean: 87.62, Std: 4.14, Max: 92.72, Min: 80.35, Range: 12.38","Mean: 87.08, Std: 1.16, Max: 91.20, Min: 83.88, Range: 7.32"
3,17,Y,"Mean: 63.30, Std: 1.92, Max: 66.61, Min: 57.91, Range: 8.69","Mean: 56.54, Std: 0.21, Max: 57.32, Min: 56.25, Range: 1.07","Mean: 58.46, Std: 0.56, Max: 60.50, Min: 57.67, Range: 2.83","Mean: 57.83, Std: 0.28, Max: 58.76, Min: 57.47, Range: 1.29","Mean: 62.28, Std: 1.37, Max: 65.00, Min: 59.73, Range: 5.26","Mean: 61.04, Std: 2.67, Max: 65.38, Min: 53.53, Range: 11.85","Mean: 60.91, Std: 1.40, Max: 65.67, Min: 58.76, Range: 6.91"
3,17,Z,"Mean: -1.84, Std: 3.18, Max: 4.65, Min: -7.09, Range: 11.73","Mean: -3.17, Std: 0.55, Max: -1.90, Min: -4.35, Range: 2.45","Mean: -4.77, Std: 0.93, Max: -2.21, Min: -6.45, Range: 4.24","Mean: -2.85, Std: 0.41, Max: -1.76, Min: -3.94, Range: 2.19","Mean: -1.52, Std: 0.38, Max: -0.63, Min: -2.40, Range: 1.77","Mean: -4.60, Std: 6.23, Max: 5.04, Min: -15.68, Range: 20.72","Mean: -1.14, Std: 3.71, Max: 4.39, Min: -16.49, Range: 20.88"
3,18,X,"Mean: 118.23, Std: 6.61, Max: 126.47, Min: 105.26, Range: 21.21","Mean: 118.49, Std: 0.27, Max: 119.01, Min: 117.98, Range: 1.03","Mean: 120.11, Std: 0.88, Max: 121.27, Min: 117.77, Range: 3.50","Mean: 118.07, Std: 0.18, Max: 118.44, Min: 117.70, Range: 0.74","Mean: 114.98, Std: 0.75, Max: 116.38, Min: 113.36, Range: 3.02","Mean: 117.26, Std: 6.01, Max: 123.98, Min: 106.56, Range: 17.42","Mean: 115.83, Std: 1.86, Max: 123.28, Min: 111.33, Range: 11.94"
3,18,Y,"Mean: 59.39, Std: 9.35, Max: 74.40, Min: 40.38, Range: 34.03","Mean: 53.49, Std: 0.33, Max: 54.80, Min: 53.11, Range: 1.68","Mean: 56.56, Std: 1.27, Max: 60.62, Min: 54.47, Range: 6.15","Mean: 56.29, Std: 0.44, Max: 57.77, Min: 55.63, Range: 2.14","Mean: 63.74, Std: 2.15, Max: 68.21, Min: 60.42, Range: 7.79","Mean: 61.18, Std: 4.52, Max: 68.56, Min: 51.49, Range: 17.07","Mean: 61.60, Std: 2.14, Max: 68.36, Min: 58.41, Range: 9.95"
3,18,Z,"Mean: -4.97, Std: 10.99, Max: 13.68, Min: -21.84, Range: 35.52","Mean: 0.24, Std: 0.97, Max: 1.90, Min: -1.98, Range: 3.88","Mean: -4.02, Std: 1.78, Max: 0.41, Min: -6.81, Range: 7.21","Mean: 1.08, Std: 0.61, Max: 2.56, Min: -0.32, Range: 2.87","Mean: 2.11, Std: 0.72, Max: 4.42, Min: 0.97, Range: 3.45","Mean: -3.63, Std: 12.43, Max: 15.74, Min: -23.97, Range: 39.71","Mean: 2.71, Std: 8.00, Max: 14.45, Min: -28.89, Range: 43.33"
3,19,X,"Mean: 126.23, Std: 9.87, Max: 143.69, Min: 108.28, Range: 35.41","Mean: 144.31, Std: 0.19, Max: 144.71, Min: 143.82, Range: 0.89","Mean: 144.91, Std: 0.75, Max: 146.23, Min: 142.88, Range: 3.35","Mean: 143.38, Std: 0.17, Max: 143.66, Min: 142.78, Range: 0.89","Mean: 139.48, Std: 1.06, Max: 141.07, Min: 137.42, Range: 3.66","Mean: 139.89, Std: 4.47, Max: 145.26, Min: 130.52, Range: 14.74","Mean: 140.54, Std: 1.21, Max: 142.76, Min: 135.11, Range: 7.65"
3,19,Y,"Mean: 55.97, Std: 19.43, Max: 90.59, Min: 26.97, Range: 63.62","Mean: 56.85, Std: 0.49, Max: 58.73, Min: 56.23, Range: 2.50","Mean: 59.22, Std: 2.45, Max: 65.47, Min: 53.65, Range: 11.82","Mean: 62.31, Std: 0.60, Max: 64.46, Min: 61.27, Range: 3.19","Mean: 72.13, Std: 2.62, Max: 77.35, Min: 68.15, Range: 9.21","Mean: 63.20, Std: 11.69, Max: 77.98, Min: 46.17, Range: 31.80","Mean: 67.22, Std: 3.21, Max: 72.80, Min: 49.65, Range: 23.15"
3,19,Z,"Mean: -23.39, Std: 19.59, Max: 11.26, Min: -46.14, Range: 57.40","Mean: -6.87, Std: 1.33, Max: -4.62, Min: -9.80, Range: 5.18","Mean: -14.92, Std: 2.52, Max: -9.03, Min: -18.69, Range: 9.67","Mean: -4.31, Std: 0.84, Max: -2.30, Min: -6.07, Range: 3.77","Mean: -4.73, Std: 1.25, Max: -0.27, Min: -6.55, Range: 6.28","Mean: -15.54, Std: 19.65, Max: 16.76, Min: -42.67, Range: 59.43","Mean: -5.04, Std: 12.66, Max: 12.65, Min: -50.29, Range: 62.94"
3,20,X,"Mean: 38.85, Std: 0.59, Max: 40.07, Min: 37.54, Range: 2.53","Mean: 37.80, Std: 0.21, Max: 38.19, Min: 37.37, Range: 0.82","Mean: 37.35, Std: 0.40, Max: 38.34, Min: 36.34, Range: 2.00","Mean: 37.39, Std: 0.14, Max: 37.72, Min: 37.02, Range: 0.69","Mean: 38.52, Std: 0.22, Max: 39.05, Min: 38.09, Range: 0.96","Mean: 38.03, Std: 1.27, Max: 40.01, Min: 34.91, Range: 5.10","Mean: 38.00, Std: 0.44, Max: 38.86, Min: 36.26, Range: 2.60"
3,20,Y,"Mean: -0.98, Std: 0.21, Max: -0.46, Min: -1.58, Range: 1.12","Mean: -0.41, Std: 0.19, Max: -0.02, Min: -0.90, Range: 0.88","Mean: -0.73, Std: 0.13, Max: -0.44, Min: -1.06, Range: 0.62","Mean: -0.69, Std: 0.14, Max: -0.30, Min: -1.05, Range: 0.75","Mean: -0.79, Std: 0.18, Max: -0.42, Min: -1.28, Range: 0.86","Mean: -0.68, Std: 0.21, Max: -0.18, Min: -1.16, Range: 0.98","Mean: -0.65, Std: 0.33, Max: -0.03, Min: -1.74, Range: 1.71"
