SubjectID,Task,PeakAngle_Thumb_20_17_18_,PeakAngle_Thumb_17_18_19_,PeakAngle_Index_20_1_5_,PeakAngle_Index_1_5_6_,PeakAngle_Index_5_6_7_,PeakAngle_Middle_20_2_8_,PeakAngle_Middle_2_8_9_,PeakAngle_Middle_8_9_10_,PeakAngle_Ring_20_3_11_,PeakAngle_Ring_3_11_12_,PeakAngle_Ring_11_12_13_,PeakAngle_Little_20_4_14_,PeakAngle_Little_4_14_15_,PeakAngle_Little_14_15_16_,AvgRectEMG_APL,AvgRectEMG_FCR,AvgRectEMG_FDS,AvgRectEMG_FDP,AvgRectEMG_ED,AvgRectEMG_EI,AvgRectEMG_ECU,AvgRectEMG_ECR
1,1,137.169693735038,155.293373783039,167.799656947907,174.049351448392,177.949016321169,170.391781994556,179.215072357759,171.974303520994,172.080895633482,173.398769902751,169.82359293246,164.774502892909,179.3919730676,155.882035805062,0.476944252519931,0.470956723107751,0.507886877381096,0.494159028822497,0.406700074967537,0.516992647412571,0.482465056468208,0.541018326073447
1,2,126.508604808941,155.311910831067,168.037281273591,173.011238691148,177.369934224413,170.074751894841,175.820883501756,172.917745194671,174.38474661712,173.593395228002,169.372497164471,165.525768631046,178.529926155179,156.22517515636,0.478347532464036,0.476920865069984,0.528743621722509,0.485996462573553,0.410176050858178,0.522197184700416,0.494402761076803,0.488040757698014
1,3,127.156530469256,154.589665622689,170.786565102856,173.767062346915,177.705730021482,176.871271460765,179.69514331716,172.079553684158,173.7305708873,174.669016484916,171.130700544979,161.268521668991,177.218826829374,156.431573126636,0.479217457144716,0.479791599607701,0.5334919260519,0.491310952912149,0.410216758112637,0.580003843551949,0.516583836077432,0.483848602099409
1,4,127.778878810449,155.632848796698,166.872083358886,171.197108582143,178.242733099271,169.768426452384,175.45819092646,173.13198841649,175.225247357028,175.475168107835,177.779080517874,156.489571670539,178.739792778568,158.512908227059,0.505868705021877,0.480223226935959,0.523953292668969,0.495315216322219,0.415331789421352,0.536040300351068,0.514072237699312,0.484696730251215
1,5,129.844081489364,154.403995397804,167.831136604051,168.174433952466,178.690582051495,178.933577310379,179.702652192187,173.247843902686,173.448310008108,175.621271619367,171.426464163565,164.927909913709,179.268863075577,158.685283590351,0.478969537298318,0.478623748640603,0.545095678690898,0.507274869717732,0.418986400242397,0.542672521053871,0.508400299519072,0.490915526240752
1,6,133.959272484348,155.195515252311,170.846935902116,173.860214611778,177.900388966562,173.485568047679,179.934848862447,173.939611131518,173.346735620954,176.217477933179,171.991671622127,164.660830520991,179.779899427183,156.692449547291,0.479180901443594,0.480235955995673,0.520403445725624,0.511075295565662,0.420908149923928,0.541660592660825,0.510846676256094,0.496435479040311
1,7,133.394493121818,155.209986448447,172.717923248022,173.267554275651,178.370946171425,175.505107792065,177.958699766402,173.659629251588,175.036293191715,176.275780594073,174.544647146951,166.54004775906,179.412886902051,157.667503243256,0.485226309635872,0.476390587402057,0.533655571469965,0.503203543055367,0.412460881308518,0.54165296241032,0.516439232974821,0.490495231946125
2,1,145.809584384891,169.914334520194,161.466556999393,164.305086340976,173.694663828831,173.800849714167,174.110165848956,174.200135926923,173.113256842701,170.117452575343,169.446550239444,137.797692252602,156.682117745593,165.866243826644,0.551103744482609,0.523903839153064,0.536560547111805,0.500716927931534,0.571065300197802,0.539702085597081,0.499966128418908,0.410136158285584
2,2,149.806458150252,169.646670552762,161.785802268084,173.704306897523,177.657828075002,165.484181818316,175.785204020065,178.107069910315,171.362328555311,171.511470172289,168.76311011851,143.620507566878,154.721465965993,164.63316452874,0.547075200688422,0.524512186381234,0.534129095451295,0.503844956208206,0.576838713168786,0.550519916033621,0.504407820595075,0.418240743580333
2,3,142.469182076913,168.543853847709,163.560510501958,173.440592548171,177.201899305665,175.126898849415,176.221012987961,178.960809117472,172.730492208377,174.316692827051,169.362035699027,148.533695309828,154.227213846496,165.084776723139,0.552728807569674,0.527911710886025,0.542839047182131,0.506207017406456,0.586192107900653,0.553775975488454,0.492325789148213,0.424848102561056
2,4,140.097104540583,165.220511424425,167.790346597699,172.273437738956,177.122074859197,177.500538135828,175.808935585966,178.868933813155,175.948224514843,173.91799405543,169.622565393081,150.08337112784,153.782362588281,164.763699163455,0.549885811313261,0.536588709905622,0.550094637187751,0.534093163836385,0.587207274541589,0.547302519392468,0.495596946797835,0.421557414989483
2,5,147.04063368657,169.948872413061,170.844995714848,172.566101760141,177.974182031499,179.624950832578,175.314673574086,178.182395699909,173.295818161687,172.603024176892,170.145814427789,148.560963861291,161.029638819608,170.979049922349,0.547659161351812,0.542373831528501,0.55581863986549,0.515905254464631,0.595377825522773,0.552188463490227,0.501287060945647,0.433724922226624
2,6,152.481726445506,170.683742031651,166.566044570977,173.603825229293,177.278290113606,179.085284653227,175.706216638245,178.00463019554,171.773523210391,172.676422434231,170.67562893077,142.187065344572,161.204699325146,167.884430269317,0.548785961692798,0.529709906273422,0.54020086703129,0.513415811520331,0.577385126658543,0.540610415539066,0.509534357753967,0.4285991352405
2,7,144.486783210894,169.03982209643,172.197717874607,173.143612899095,178.141861475007,178.429364535866,176.558921447445,178.509189787156,177.936128776655,171.520929370291,168.949545716784,149.51971830695,155.040366784546,169.411180048089,0.520262778357204,0.520078968055308,0.546042184430215,0.509076440921945,0.57745324024734,0.54168031402441,0.504981996145764,0.417696974365398
3,1,156.505641708693,178.746902119793,157.412355266787,179.920295676917,171.957117082029,178.846817289562,177.18087743616,172.167328244832,171.168030441106,179.957479586913,174.127226772581,174.992994015701,179.847786983048,178.025613539611,0.46759497219678,0.508519260153465,0.471619360246308,0.555314807035136,0.520210639056261,0.568645748038281,0.484931937675794,0.539322208616275
3,2,145.68134804028,153.846262217737,169.41096666833,179.774254674763,175.471926365102,174.993734991235,174.16016397565,171.099058248442,169.602459276739,177.419181866616,178.441292807218,153.326670473214,178.791898317791,177.364455398177,0.445650839569501,0.500155554415268,0.466835175150352,0.543663444440881,0.510333134991323,0.561150787389269,0.456697767466818,0.529891156461101
3,3,133.706824515747,171.285710962266,167.906252523172,179.505143700627,174.823294729089,179.279281138477,179.788831653128,173.239975509022,167.021187725158,179.676584375218,176.511625948547,157.299891508579,179.128409071214,176.626285584173,0.456035614798388,0.50521950354048,0.47276693101001,0.546679361595622,0.516099246120589,0.563993195540578,0.467031428378305,0.536120568001429
3,4,123.657231644817,179.507000964825,162.397298427688,178.462653413583,173.315007614527,172.347414824697,177.490895343427,173.228421795353,174.31575025814,179.575280587135,176.206566929729,157.757319570233,178.332796741043,176.73633363028,0.460731907384029,0.516620219314462,0.492248494077721,0.561565365853734,0.53085464104599,0.575493164397568,0.477830688290893,0.550961839088874
3,5,128.832581507802,178.500937836884,159.041854711808,178.405496884494,174.736532600722,176.650415206843,176.351497953214,171.712057865111,171.906583507953,178.998709247763,174.90582810508,174.897270581145,179.785143363948,179.324332637682,0.453771006471921,0.509338940851127,0.47440483371352,0.550409589529737,0.522004755160975,0.565446167249882,0.471873307769497,0.539342851889492
3,6,144.877489954804,174.507042336482,159.441861597231,179.799998929348,172.370779821843,178.03078363704,178.840869632139,170.173480838612,170.292882503525,179.839512908709,174.424067037497,163.576203647447,179.872272922248,176.557224897573,0.453320106839807,0.506213769131709,0.471900729295514,0.543248237717042,0.513220675457726,0.562201988068669,0.462520699531735,0.532133437115831
