APL,FCR,FDS,FDP,ED,EI,ECU,ECR
0.00402182013532848,0.0354363606086929,0.0383808503565035,0.0172040352201864,0.0672966679934034,0.000528999608563444,0.0011240833706312,0.21079847191545
0.00406772802849493,0.035315781037723,0.0385249048136111,0.0169290545707594,0.0664168814725198,0.000533268267421325,0.00113354336534806,0.211519798344154
0.00411075929824443,0.0351487037865187,0.0384855224700059,0.0166680582166649,0.0655996576784316,0.000538331422571077,0.0011410532323875,0.212070823885454
0.00415156526113916,0.0349370774246616,0.0382624603975371,0.0164229649697167,0.06485015808432,0.000544338925194345,0.00114644903187246,0.212464988276058
0.00419095807657628,0.0346837975592232,0.0378577885971469,0.016195922146778,0.0641741050562573,0.000551425066763679,0.00114958425479692,0.212720019733454
0.00422990365685502,0.0343926187434007,0.0372758738724339,0.0159893109472295,0.0635776263100275,0.000559705156869023,0.00115033392233912,0.212857409819921
0.00426951024475261,0.03406803814236,0.0365233259853614,0.0158057371168834,0.0630670514018492,0.000569272368022798,0.00114859829275384,0.212901762627743
0.00431101261801155,0.0337151553182078,0.035608906142856,0.0156480074032494,0.0626486692391556,0.000580194933658909,0.00114430600252074,0.212880039630288
0.00435575190592624,0.0333395135564092,0.0345433993431094,0.0155190921848537,0.0623284544317516,0.000592513767312829,0.00113741652909391,0.212820716749115
0.00440515118887486,0.0329469278314698,0.0333394541703596,0.0154220746027177,0.062111770268102,0.000606240554139162,0.00112792193020464,0.212752868757288
0.00446068731318901,0.0325433038194434,0.0320113951267586,0.01536008710088,0.0620030580883869,0.000621356359546356,0.00111584785717476,0.212705201387581
0.00452385958194307,0.0321344525770298,0.0305750127692065,0.0153362372559544,0.0620055254341391,0.00063781079920845,0.00110125383772523,0.212705059302207
0.00459615608619245,0.0317259064884114,0.0290473360773107,0.0153535256185873,0.0621208469054892,0.000655521813130425,0.00108423279983371,0.21277744267839
0.00467901838371741,0.0313227429262782,0.0274463909479035,0.0154147585779076,0.0623488911339631,0.000674376080320006,0.00106490981263436,0.212944062904753
0.0047738051102854,0.0309294220158507,0.0257909490945964,0.0155224589693373,0.0626874851745453,0.000694230100121363,0.00104344006604267,0.213222461191596
0.00488175509192032,0.0305496439248799,0.0241002723935285,0.0156787768142756,0.0631322257454079,0.000714911953107173,0.00102000617346027,0.213625209789396
0.00500395065674026,0.030186230114332,0.0223938581239362,0.0158854026205755,0.0636763458662053,0.00073622373915734,0.000994814929882435,0.21415921625573
0.00514128204386744,0.0298410324830989,0.0206911901743683,0.0161434859381998,0.064310644897758,0.000757944670804477,0.000968093667382394,0.214825153955814
0.00529441396549324,0.0295148739802989,0.0190115003663338,0.0164535620371804,0.0650234889403657,0.000779834772403301,0.000940086325422481,0.215617043192535
0.00546375540122105,0.0292075235951489,0.0173735432844918,0.0168154894197862,0.0658008865461501,0.0008016391015279,0.000911049332233837,0.216522004449038
0.00564943356682622,0.0289177075010205,0.0157953875524844,0.0172284003337515,0.0666266417183182,0.00082309237944312,0.000881247397265038,0.217520197542757
0.00585127280625034,0.0286431566489172,0.0142942260081557,0.0176906657462978,0.0674825825752573,0.000843923902021179,0.000850949330248962,0.218584951018032
0.00606877902036713,0.0283806895535722,0.012886206498555,0.0181998757047263,0.0683488604185384,0.000863862601822483,0.000820424009953768,0.219683079098337
0.00630113016002564,0.0281263276326036,0.0115862842098794,0.0187528357336375,0.069204310675695,0.000882642142689109,0.000789936613665142,0.220775379854268
0.00654717321915146,0.0278754392975473,0.0104080958045922,0.0193455798097546,0.0700268646170586,0.000900005944423872,0.000759745186170383,0.221817306540282
0.00680542803907188,0.0276229078755134,0.00936385508547071,0.0199734003894051,0.0707939992224539,0.000915712049204584,0.000730097584778685,0.222759802821139
